D2W_D,W2D_D,D2W_S,W2D_S
-0.26197624,-0.17227909,-0.10168607,-0.05098259
-0.23603931,-0.18408248,0.025582219,0.07427043
-0.28846902,-0.27629277,0.15638286,0.21801965
-0.21404046,-0.10995279,0.077021785,0.22061202
-0.19335657,-0.33542955,-0.18627217,-0.013117083
-0.3029656,-0.06540652,0.2004421,0.12446275
-0.14553091,-0.14422828,0.14219335,0.20323682
-0.29151818,-0.09555953,0.25391936,0.4335271
-0.13671452,-0.14597763,-0.19091791,-0.08552868
-0.14264524,-0.24151516,-0.006536465,-0.062827334
-0.20772052,-0.3356646,0.11207018,0.28383508
-0.05918611,0.050132453,0.029790625,0.08213329
0.1963625,0.02737461,0.34415168,0.042104583
-0.15907745,-0.14774081,0.14782715,0.2979303
-0.2892262,-0.101028875,0.078274846,0.2074507
-0.16958693,-0.19049227,0.1223368,0.14301518
-0.11930041,-0.0003402345,0.12841783,0.1880167
-0.29716575,-0.13923594,0.23600188,0.18825735
-0.44556358,-0.23017558,0.4249372,0.3944933
-0.24787444,-0.18495691,0.10430086,0.2931198
-0.24848777,-0.08398936,0.19871259,0.10350182
-0.42153433,-0.26983204,0.35716063,0.65180486
0.04159972,-0.36280802,-0.13138564,0.03809732
-0.37218434,-0.28447345,0.2726671,0.23181012
-0.2811804,-0.037057135,0.41582498,0.15254258
-0.17582381,-0.08334262,0.21938933,0.12371081
-0.102766365,-0.12522483,-0.09691795,-0.073631845
0.035683267,-0.132997,-0.04517471,0.05550655
0.0010264069,-0.006674107,0.070240654,0.18271215
-0.1027523,-0.077008545,0.12374276,0.123192586
-0.3493339,0.13798484,-0.006794162,0.22092591
-0.09080884,0.08309306,-0.02016578,0.20097238
-0.025569946,0.039768934,-0.02250789,0.04437631
-0.019290322,-0.22974044,-0.056692723,0.07821122
-0.08260386,-0.089646906,-0.0009668227,0.049715225
-0.1754292,-0.22679439,0.029696269,0.09232496
-0.27659225,0.038068667,0.038128324,0.14973077
-0.02331352,-0.09003331,0.15344168,0.23825133
0.05301573,-0.04918036,0.05576161,0.36092213
-0.02017341,-0.15555978,0.08585589,0.034709368
-0.13442671,-0.07668179,0.032231323,0.057996906
-0.33598527,-0.08587593,0.40779898,0.19006957
-0.18901303,0.23535165,0.02098318,-0.009099764
0.16086921,-0.024123112,0.21730717,0.04251339
-0.10748801,0.27147785,0.19646285,0.18512864
-0.0027240105,0.40981483,0.034050606,-0.01648414
-0.02824996,-0.016182901,-0.051571667,0.118107915
-0.2471171,0.045004368,-0.18224242,-0.058004975
-0.27463627,0.010316208,0.12579095,0.14392117
-0.43914494,0.16892472,-0.1372905,0.009831302
-0.4481359,0.24603969,-0.11363404,0.100818224
-0.43082234,-0.078605235,-0.07410027,0.039683726
-0.40242708,0.0036322884,-0.039167937,0.16346912
-0.20815673,-0.31458324,0.16665791,0.12468417
0.042270742,-0.3122912,-0.010296351,0.11722753
-0.04527461,0.038166992,-0.09263988,-0.13026248
